,city_name,housing_units,housing_density,change_hunits,percent_of_rent_to_total,owned_homes,med_homeval,med_rental_rate,med_owner_cost,med_own_cost_aspercentof_income,med_hval_aspercentof_medearn,med_hcost_ownmortg,med_hcost_own_wo_mortg,hcost_aspercentof_hincome_ownmortg,hcost_as_perc_of_hincome_womortg,med_real_estate_taxes,family_members_per_hunit,median_num_ofrooms,median_year_house_built,household_size_of_howners,household_size_for_renters,med_year_moved_in_for_owners,med_year_renter_moved_in,studio_1000_1499,studio_1500_more,studio_750_999,onebed_1000_1499,onebed_1500_more,onebed_750_999,twobed_1000_1499,twobed_1500_more,twobed_750_999,threebed_1000_1499,threebed_1500_more,threebed_750_999
86,Cotati,3038.0,1616.0,-3.3,41.9,58.1,429700.0,1327.0,1624.0,24.0,838.0,2066.0,658.0,26.0,12.0,3382.0,3.2,4.9,1984.0,2.5,2.7,2002.0,2011.0,0.198,0.321,0.481,0.298,0.064,0.163,0.592,0.238,0.055,0.194,0.709,0.097
87,Covina,15887.0,2260.5,-4.2,43.3,56.7,441100.0,1340.0,1826.0,22.0,928.0,2158.0,497.0,25.0,10.0,3266.0,3.8,5.4,1960.0,3.2,3.1,2001.0,2011.0,0.275,0.189,0.318,0.641,0.039,0.243,0.618,0.303,0.033,0.197,0.692,0.016
88,Crescent City,1869.0,951.9,-1.9,69.2,30.8,120400.0,733.0,907.0,21.0,343.0,980.0,320.0,27.0,13.0,1399.0,3.3,4.6,1966.0,2.3,2.2,2003.0,2011.0,0.308,0.0,0.0,0.044,0.0,0.23,0.032,0.0,0.32,0.686,0.079,0.071
89,Cudahy,5694.0,4845.9,-1.3,85.3,14.7,327500.0,1190.0,1372.0,22.0,1210.0,1764.0,310.0,32.0,10.0,3455.0,4.7,4.2,1958.0,4.2,4.4,2001.0,2010.0,0.294,0.0,0.382,0.267,0.014,0.474,0.804,0.084,0.066,0.399,0.541,0.024
90,Culver City,17373.0,3399.2,-0.7,46.6,53.4,735600.0,1758.0,2034.0,22.0,1114.0,2752.0,588.0,27.0,12.0,4694.0,3.2,4.2,1964.0,2.5,2.2,2000.0,2012.0,0.319,0.409,0.183,0.326,0.519,0.084,0.131,0.783,0.03,0.086,0.812,0.045
91,Cupertino,22112.0,1954.9,5.2,37.6,62.4,1372800.0,2829.0,2932.0,19.0,1089.0,3760.0,789.0,24.0,10.0,9062.0,3.4,5.3,1973.0,2.9,3.0,2001.0,2012.0,0.039,0.574,0.045,0.04,0.888,0.0,0.031,0.933,0.0,0.056,0.889,0.0
92,Cypress,16266.0,2459.0,1.2,32.8,67.2,576500.0,1751.0,2000.0,22.0,952.0,2490.0,529.0,26.0,10.0,3787.0,3.5,5.8,1970.0,3.1,3.1,1999.0,2012.0,0.142,0.319,0.0,0.534,0.257,0.032,0.376,0.569,0.03,0.051,0.862,0.022
93,Daly City,32451.0,4247.3,-0.4,43.1,56.9,651600.0,1899.0,2062.0,22.0,1375.0,2589.0,553.0,27.0,10.0,4091.0,4.0,4.8,1966.0,3.5,3.3,1996.0,2011.0,0.238,0.67,0.047,0.282,0.597,0.035,0.112,0.79,0.019,0.079,0.807,0.024
94,Dana Point,17244.0,2653.2,8.2,39.7,60.3,833800.0,1941.0,2443.0,23.0,1179.0,3131.0,722.0,31.0,11.0,5308.0,3.0,5.5,1978.0,2.2,2.4,2001.0,2012.0,0.822,0.0,0.118,0.398,0.482,0.075,0.104,0.835,0.007,0.026,0.926,0.01
95,Davis city-CA,25642.0,2593.5,-0.9,56.1,43.9,594000.0,1377.0,1901.0,17.0,882.0,2468.0,638.0,21.0,10.0,4810.0,3.0,5.0,1980.0,2.6,2.7,2001.0,2013.0,0.405,0.05,0.271,0.624,0.077,0.189,0.53,0.326,0.061,0.114,0.724,0.037
96,Del Mar,2855.0,1672.7,10.0,46.1,53.9,2000001.0,1987.0,2987.0,22.0,2554.0,4001.0,932.0,30.0,10.0,9486.0,2.4,4.9,1970.0,2.1,1.7,1998.0,2011.0,,1.0,,,1.0,,,1.0,,,1.0,
97,Del Rey Oaks,737.0,1535.5,-0.5,29.8,70.2,480100.0,2074.0,1691.0,21.0,735.0,2375.0,392.0,26.0,10.0,2872.0,3.3,5.6,1958.0,2.5,2.8,1993.0,2012.0,0.0,0.0,1.0,0.312,0.688,0.0,0.0,0.914,0.0,0.0,0.87,0.0
98,Delano,11977.0,837.4,11.8,40.8,59.2,167900.0,826.0,964.0,22.0,551.0,1193.0,376.0,26.0,12.0,1495.0,4.3,5.0,1982.0,4.0,3.8,2003.0,2011.0,0.048,0.0,0.145,0.03,0.0,0.266,0.154,0.0,0.507,0.44,0.055,0.294
99,Desert Hot Springs city-CA,11854.0,392.5,8.7,56.3,43.7,154600.0,918.0,932.0,23.0,481.0,1228.0,408.0,29.0,13.0,1815.0,3.9,4.5,1988.0,2.8,3.1,2006.0,2012.0,0.062,0.0,0.0,0.024,0.0,0.328,0.181,0.034,0.446,0.524,0.142,0.223
100,Diamond Bar,18525.0,1244.9,0.4,22.8,77.2,614800.0,1935.0,1951.0,23.0,1004.0,2397.0,658.0,26.0,11.0,4577.0,3.5,6.2,1980.0,3.1,3.3,1999.0,2012.0,0.148,0.533,0.319,0.333,0.457,0.066,0.178,0.73,0.015,0.035,0.836,0.018
101,Dinuba city-CA,6306.0,974.6,7.5,49.9,50.1,164800.0,891.0,1076.0,21.0,532.0,1272.0,367.0,25.0,10.0,1264.0,4.2,5.2,1980.0,3.7,4.0,2001.0,2012.0,0.37,0.0,0.0,0.0,0.0,0.111,0.141,0.054,0.391,0.424,0.135,0.332
102,Dixon city-CA,6204.0,870.4,0.5,30.6,69.4,331800.0,1243.0,1669.0,25.0,758.0,1842.0,480.0,27.0,10.0,2668.0,3.7,5.6,1988.0,3.1,3.7,2002.0,2012.0,0.0,0.0,1.0,0.103,0.015,0.481,0.636,0.15,0.184,0.322,0.678,0.0
103,Dorris,417.0,593.6,0.7,44.0,56.0,103200.0,669.0,512.0,19.0,352.0,778.0,375.0,32.0,13.0,824.0,3.3,4.7,1966.0,2.6,2.5,2003.0,2012.0,0.0,,0.0,0.5,,0.0,0.038,,0.038,0.289,,0.311
104,Dos Palos,1507.0,1117.0,-11.4,31.4,68.6,100100.0,790.0,703.0,18.0,274.0,991.0,338.0,28.0,10.0,806.0,4.0,5.0,1976.0,3.4,3.9,2003.0,2012.0,0.0,,0.0,0.0,,0.0,0.045,,0.467,0.605,,0.186
105,Downey,34159.0,2753.0,-4.1,49.2,50.8,479500.0,1313.0,1912.0,24.0,1144.0,2366.0,478.0,30.0,10.0,3681.0,4.0,4.9,1958.0,3.6,3.3,2000.0,2012.0,0.608,0.053,0.256,0.595,0.038,0.32,0.579,0.339,0.04,0.119,0.818,0.027
106,Duarte,7174.0,1072.3,-1.1,36.2,63.8,422000.0,1489.0,1667.0,22.0,897.0,1994.0,486.0,26.0,10.0,3178.0,3.8,5.3,1964.0,3.2,2.9,2001.0,2011.0,0.183,0.532,0.0,0.189,0.157,0.265,0.386,0.528,0.014,0.14,0.584,0.017
107,Dublin,19587.0,1285.8,24.1,34.2,65.8,756800.0,2353.0,2984.0,23.0,756.0,3294.0,731.0,24.0,10.0,7022.0,3.3,5.8,1999.0,3.0,2.6,2008.0,2013.0,0.086,0.81,0.043,0.055,0.779,0.127,0.099,0.851,0.0,0.058,0.854,0.049
108,Dunsmuir,1151.0,717.4,3.7,45.4,54.6,152100.0,903.0,752.0,23.0,488.0,1117.0,372.0,34.0,14.0,916.0,2.7,5.0,1944.0,1.9,2.4,1996.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.18,0.098,0.0,0.439,0.543,0.073,0.344
109,East Palo Alto,7956.0,3174.5,1.8,64.0,36.0,600200.0,1613.0,2135.0,26.0,1685.0,2596.0,645.0,31.0,13.0,5095.0,4.8,4.3,1968.0,3.9,3.9,2002.0,2011.0,0.287,0.242,0.308,0.572,0.258,0.08,0.239,0.659,0.026,0.084,0.813,0.006
110,Eastvale,15400.0,1216.1,6.3,24.2,75.8,496000.0,2526.0,2638.0,26.0,802.0,2767.0,864.0,28.0,13.0,6954.0,4.5,7.6,2005.0,4.0,4.4,2009.0,2012.0,0.0,1.0,0.0,0.0,0.853,0.0,0.086,0.914,0.0,0.057,0.836,0.021
111,El Cajon,33600.0,2320.7,-6.3,61.8,38.2,403700.0,1185.0,1565.0,22.0,992.0,2099.0,526.0,26.0,11.0,2757.0,3.7,4.4,1973.0,2.9,3.2,2002.0,2012.0,0.377,0.065,0.233,0.422,0.026,0.43,0.692,0.145,0.06,0.155,0.71,0.021
112,El Centro city-CA,13864.0,1236.7,-4.2,50.4,49.6,172800.0,768.0,1060.0,20.0,422.0,1524.0,461.0,24.0,10.0,1499.0,4.3,4.8,1977.0,3.9,3.5,2003.0,2011.0,0.026,0.0,0.0,0.042,0.018,0.158,0.123,0.011,0.444,0.393,0.158,0.151
113,El Cerrito,10455.0,2859.0,-2.4,40.0,60.0,682300.0,1690.0,2113.0,21.0,934.0,2795.0,590.0,25.0,10.0,5648.0,3.0,5.3,1955.0,2.5,2.5,2000.0,2012.0,0.141,0.462,0.196,0.439,0.356,0.128,0.318,0.6,0.044,0.101,0.772,0.0
114,El Monte,31454.0,3289.4,8.2,59.5,40.5,401000.0,1160.0,1332.0,22.0,1484.0,1838.0,423.0,30.0,10.0,3596.0,4.5,4.4,1963.0,4.0,3.8,1999.0,2010.0,0.166,0.031,0.368,0.358,0.021,0.421,0.739,0.077,0.114,0.339,0.459,0.083
115,El Segundo,7060.0,1292.3,-4.7,55.4,44.6,875600.0,1681.0,2731.0,21.0,1085.0,3309.0,559.0,24.0,10.0,5362.0,3.2,4.6,1962.0,2.9,2.3,2002.0,2011.0,0.657,0.038,0.124,0.411,0.314,0.169,0.1,0.831,0.043,0.126,0.796,0.013
116,Elk Grove city-CA,53164.0,1259.9,5.0,27.3,72.7,349500.0,1560.0,1834.0,22.0,581.0,2056.0,609.0,24.0,10.0,3406.0,3.7,6.4,1999.0,3.2,3.2,2005.0,2012.0,0.398,0.359,0.035,0.374,0.082,0.316,0.534,0.229,0.184,0.176,0.718,0.03
117,Emeryville,6946.0,5422.9,4.5,64.2,35.8,441900.0,2038.0,1889.0,22.0,542.0,2329.0,697.0,26.0,12.0,3960.0,2.7,3.1,1988.0,1.7,1.8,2006.0,2013.0,0.309,0.578,0.074,0.125,0.702,0.058,0.199,0.738,0.0,0.211,0.789,0.0
118,Encinitas,26321.0,1399.2,2.3,36.2,63.8,862300.0,1837.0,2427.0,21.0,1175.0,3016.0,667.0,24.0,11.0,5436.0,3.2,5.5,1978.0,2.7,2.4,2001.0,2012.0,0.402,0.468,0.102,0.404,0.358,0.088,0.128,0.809,0.026,0.082,0.824,0.01
119,Escalon,2823.0,1226.9,8.2,33.8,66.2,256800.0,1228.0,1501.0,18.0,493.0,1791.0,392.0,20.0,10.0,2357.0,3.6,5.7,1985.0,2.8,2.8,2003.0,2011.0,0.0,1.0,0.0,0.0,0.0,0.0,0.214,0.071,0.207,0.44,0.46,0.062
120,Escondido,47213.0,1274.0,-1.7,50.2,49.8,396200.0,1318.0,1807.0,24.0,1029.0,2147.0,539.0,27.0,12.0,2972.0,3.9,4.9,1981.0,3.2,3.4,2004.0,2012.0,0.249,0.081,0.477,0.496,0.094,0.278,0.594,0.285,0.061,0.234,0.672,0.027
121,Etna,350.0,460.7,-2.5,32.1,67.9,154600.0,813.0,753.0,20.0,452.0,1060.0,398.0,24.0,15.0,1223.0,3.1,4.6,1970.0,2.4,2.6,2001.0,2012.0,0.0,,0.0,0.0,,0.0,0.0,,0.387,0.397,,0.448
122,Eureka,12654.0,1348.4,6.4,54.8,45.2,249300.0,847.0,1141.0,22.0,746.0,1520.0,361.0,28.0,10.0,1600.0,3.2,4.7,1952.0,2.3,2.2,2001.0,2012.0,0.0,0.063,0.0,0.065,0.007,0.324,0.335,0.023,0.426,0.327,0.413,0.129
123,Exeter city-CA,3564.0,1447.0,-1.0,38.1,61.9,184100.0,866.0,1014.0,19.0,458.0,1250.0,345.0,24.0,10.0,1331.0,3.7,5.5,1976.0,3.0,3.3,2003.0,,0.0,0.0,0.0,0.141,0.0,0.034,0.221,0.0,0.291,0.399,0.154,0.337
124,Fairfield,37461.0,916.2,0.7,44.0,56.0,341500.0,1445.0,1783.0,21.0,650.0,2054.0,479.0,24.0,10.0,2898.0,3.7,5.8,1984.0,3.1,3.1,2004.0,2012.0,0.245,0.357,0.269,0.399,0.151,0.314,0.489,0.249,0.179,0.148,0.744,0.025
125,Farmersville,2706.0,1198.2,-0.7,35.1,64.9,133900.0,741.0,890.0,23.0,440.0,1002.0,298.0,28.0,11.0,981.0,4.6,5.3,1983.0,4.3,3.5,2004.0,2012.0,0.0,0.0,0.241,0.174,0.0,0.139,0.043,0.043,0.25,0.286,0.088,0.296
126,Ferndale,808.0,787.1,12.7,45.8,54.2,352900.0,1037.0,905.0,25.0,1046.0,1773.0,481.0,33.0,17.0,2757.0,2.9,5.3,1952.0,2.0,2.2,1993.0,2012.0,0.0,0.0,0.0,0.0,0.0,0.574,0.434,0.048,0.301,0.582,0.123,0.192
127,Fillmore city-CA,4558.0,1355.1,3.4,30.4,69.6,354900.0,1247.0,1813.0,24.0,776.0,2123.0,400.0,28.0,10.0,2799.0,4.1,5.4,1973.0,3.5,3.7,2003.0,2011.0,0.0,0.232,0.609,0.145,0.089,0.322,0.883,0.066,0.051,0.213,0.698,0.056
128,Firebaugh,2189.0,622.7,4.4,52.8,47.2,122400.0,676.0,1027.0,22.0,452.0,1232.0,365.0,27.0,10.0,1221.0,4.1,4.7,1985.0,4.2,3.4,2000.0,2010.0,0.0,,0.0,0.0,,0.213,0.09,,0.232,0.263,,0.248
129,Folsom city-CA,27623.0,1258.6,5.8,30.2,69.8,456600.0,1493.0,2081.0,20.0,536.0,2371.0,644.0,22.0,11.0,4413.0,3.2,6.1,1995.0,2.8,2.3,2005.0,2013.0,0.43,0.136,0.236,0.499,0.193,0.131,0.431,0.442,0.065,0.164,0.762,0.01
130,Fontana,54000.0,1253.7,4.1,35.6,64.4,323300.0,1224.0,1734.0,25.0,789.0,1933.0,484.0,27.0,10.0,3324.0,4.4,5.7,1987.0,4.0,3.9,2005.0,2012.0,0.136,0.011,0.277,0.18,0.014,0.403,0.622,0.047,0.245,0.217,0.663,0.04
131,Fort Bragg,3141.0,1142.6,-1.7,64.1,35.9,294900.0,985.0,1119.0,21.0,869.0,1779.0,413.0,25.0,12.0,2034.0,3.6,4.3,1970.0,2.4,2.6,2000.0,2011.0,0.0,0.0,0.226,0.135,0.045,0.19,0.343,0.203,0.338,0.288,0.45,0.104
132,Fort Jones,375.0,622.6,9.0,43.4,56.6,157000.0,782.0,1119.0,24.0,416.0,1317.0,372.0,27.0,11.0,1127.0,3.5,5.1,1957.0,2.5,2.9,1999.0,2011.0,0.0,,0.0,0.0,,0.0,0.056,,0.408,0.673,,0.115
133,Fortuna,5010.0,1034.0,0.4,44.4,55.6,251800.0,930.0,1095.0,22.0,685.0,1482.0,414.0,27.0,12.0,1764.0,3.3,4.9,1976.0,2.6,2.6,2004.0,2012.0,0.0,0.0,0.432,0.133,0.0,0.159,0.243,0.083,0.513,0.342,0.357,0.095
134,Foster City,13417.0,3534.7,7.7,41.7,58.3,1051000.0,2763.0,2660.0,21.0,992.0,3338.0,828.0,24.0,11.0,6497.0,3.1,5.0,1975.0,2.6,2.6,2000.0,2013.0,0.0,0.87,0.13,0.045,0.925,0.0,0.044,0.889,0.01,0.004,0.918,0.009
135,Fountain Valley,19023.0,2096.8,-0.7,30.5,69.5,654100.0,1832.0,1955.0,21.0,1121.0,2534.0,537.0,27.0,10.0,3853.0,3.5,5.9,1972.0,3.1,3.0,1998.0,2012.0,0.08,0.636,0.08,0.27,0.546,0.048,0.11,0.84,0.021,0.042,0.82,0.008
136,Fowler,1803.0,709.2,-2.1,46.2,53.8,201000.0,871.0,1248.0,22.0,560.0,1519.0,420.0,25.0,10.0,1863.0,3.9,5.3,1983.0,3.3,3.5,2001.0,2011.0,0.0,0.0,0.291,0.0,0.0,0.0,0.174,0.0,0.36,0.47,0.121,0.117
137,Fremont city-CA,76550.0,988.2,3.5,37.6,62.4,785700.0,2028.0,2457.0,20.0,948.0,2869.0,624.0,23.0,10.0,5747.0,3.5,5.1,1978.0,3.1,3.1,2002.0,2012.0,0.225,0.599,0.022,0.211,0.672,0.038,0.116,0.834,0.018,0.033,0.897,0.009
138,Fresno city-CA,176617.0,1555.1,3.1,53.1,46.9,206800.0,931.0,1199.0,21.0,528.0,1474.0,429.0,24.0,11.0,1775.0,3.8,5.0,1978.0,3.1,3.1,2003.0,2012.0,0.148,0.028,0.245,0.111,0.026,0.311,0.292,0.038,0.412,0.427,0.27,0.167
139,Fullerton,47885.0,2134.6,0.0,48.4,51.6,589600.0,1479.0,2025.0,22.0,1179.0,2540.0,540.0,27.0,10.0,3852.0,3.6,5.0,1968.0,2.9,3.1,2001.0,2012.0,0.584,0.089,0.219,0.597,0.227,0.097,0.383,0.541,0.029,0.088,0.799,0.014
140,Galt city-CA,8190.0,1366.1,6.7,28.5,71.5,270300.0,1197.0,1529.0,22.0,564.0,1707.0,517.0,24.0,11.0,2481.0,3.7,5.5,1993.0,3.2,3.1,2005.0,2012.0,0.0,0.072,0.362,0.046,0.0,0.391,0.409,0.095,0.286,0.423,0.368,0.124
141,Garden Grove,48758.0,2715.2,2.1,46.2,53.8,476300.0,1421.0,1733.0,22.0,1207.0,2138.0,475.0,27.0,10.0,3342.0,4.2,5.0,1964.0,3.6,3.6,2000.0,2011.0,0.445,0.147,0.208,0.584,0.097,0.14,0.437,0.418,0.03,0.142,0.708,0.034
142,Gardena,21551.0,3697.1,0.4,50.3,49.7,407000.0,1197.0,1506.0,23.0,1007.0,2065.0,425.0,30.0,10.0,2967.0,3.6,4.5,1960.0,3.0,2.8,2000.0,2011.0,0.31,0.048,0.32,0.439,0.02,0.393,0.621,0.188,0.112,0.22,0.662,0.058
143,Gilroy,16145.0,1000.2,8.7,42.0,58.0,583900.0,1611.0,2334.0,22.0,1115.0,2673.0,587.0,25.0,10.0,5073.0,3.9,5.9,1984.0,3.2,3.6,2005.0,2011.0,0.484,0.116,0.271,0.237,0.32,0.07,0.392,0.479,0.042,0.123,0.746,0.013
144,Glendale,76607.0,2516.4,0.4,66.2,33.8,675300.0,1431.0,2276.0,25.0,1313.0,2732.0,652.0,28.0,12.0,4337.0,3.4,4.2,1963.0,2.9,2.6,2001.0,2011.0,0.353,0.157,0.323,0.587,0.169,0.121,0.301,0.627,0.026,0.143,0.717,0.052
145,Glendora,17612.0,907.8,-0.9,29.4,70.6,517100.0,1519.0,1948.0,22.0,855.0,2356.0,561.0,26.0,11.0,3729.0,3.5,5.7,1963.0,2.9,3.1,2000.0,2011.0,0.111,0.059,0.241,0.466,0.031,0.294,0.449,0.473,0.032,0.079,0.813,0.008
146,Goleta,11635.0,1482.0,1.4,47.1,52.9,718300.0,1840.0,1982.0,23.0,1391.0,2609.0,585.0,27.0,11.0,4147.0,3.5,4.9,1970.0,2.8,2.8,1999.0,2012.0,0.742,0.119,0.109,0.446,0.465,0.024,0.152,0.751,0.036,0.072,0.861,0.0
147,Gonzales,2002.0,1044.4,0.7,51.4,48.6,253700.0,1179.0,1475.0,27.0,717.0,1636.0,326.0,30.0,10.0,2016.0,4.7,4.7,1984.0,3.8,4.6,2002.0,2010.0,0.082,0.0,0.694,0.253,0.0,0.598,0.602,0.056,0.274,0.421,0.496,0.051
148,Grand Terrace,4412.0,1259.7,-5.1,39.4,60.6,275700.0,1305.0,1445.0,22.0,549.0,1739.0,451.0,25.0,11.0,2453.0,3.6,5.4,1978.0,3.1,2.6,2001.0,2011.0,0.438,0.0,0.562,0.5,0.015,0.282,0.667,0.265,0.049,0.193,0.546,0.02
149,Grass Valley city-CA,6445.0,1358.8,-2.9,60.2,39.8,280400.0,1000.0,1064.0,25.0,754.0,1476.0,420.0,30.0,13.0,1941.0,3.2,4.3,1974.0,1.9,2.2,2007.0,2012.0,0.201,0.145,0.399,0.159,0.073,0.487,0.5,0.114,0.217,0.396,0.308,0.074
150,Greenfield city-CA,3874.0,1814.4,3.3,51.5,48.5,260200.0,1242.0,1407.0,24.0,847.0,1549.0,356.0,26.0,10.0,1965.0,5.2,4.9,1989.0,4.4,4.9,2004.0,2012.0,0.518,0.0,0.282,0.415,0.0,0.379,0.472,0.202,0.321,0.34,0.576,0.042
151,Gridley,2584.0,1248.1,7.4,49.5,50.5,158000.0,769.0,1074.0,23.0,533.0,1303.0,303.0,25.0,10.0,1267.0,3.4,4.9,1967.0,2.9,2.8,2001.0,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.252,0.027,0.376,0.245,0.118,0.45
152,Grover Beach,5746.0,2487.4,-0.0,57.9,42.1,446800.0,1241.0,1484.0,21.0,1042.0,2093.0,429.0,24.0,10.0,3308.0,3.2,4.4,1978.0,2.4,2.6,2004.0,2012.0,0.0,0.0,0.16,0.386,0.069,0.326,0.622,0.271,0.07,0.197,0.754,0.028
153,Guadalupe,1991.0,1520.5,5.5,46.8,53.2,210900.0,1140.0,1228.0,21.0,709.0,1408.0,330.0,26.0,10.0,1597.0,4.3,4.7,1981.0,3.4,4.2,1996.0,2011.0,0.0,0.0,1.0,0.293,0.069,0.0,0.46,0.038,0.435,0.375,0.56,0.054
154,Gustine,2129.0,1372.7,2.0,45.4,54.6,151900.0,854.0,938.0,19.0,416.0,1247.0,296.0,25.0,11.0,1324.0,3.4,5.3,1973.0,2.7,3.1,2002.0,2011.0,0.0,0.0,0.0,0.051,0.0,0.142,0.0,0.0,0.391,0.232,0.075,0.596
155,Half Moon Bay,5395.0,840.0,22.8,30.9,69.1,841800.0,2052.0,2254.0,21.0,1090.0,3234.0,780.0,23.0,17.0,6050.0,3.1,5.6,1978.0,2.4,3.0,2004.0,2011.0,0.395,0.272,0.0,0.096,0.236,0.0,0.147,0.761,0.052,0.119,0.845,0.0
156,Hanford city-CA,19363.0,1152.3,4.7,43.5,56.5,192900.0,943.0,1177.0,19.0,456.0,1425.0,409.0,22.0,10.0,1642.0,3.6,5.3,1983.0,3.0,3.1,2004.0,2012.0,0.099,0.183,0.263,0.066,0.039,0.251,0.273,0.015,0.418,0.422,0.23,0.156
157,Hawaiian Gardens,4018.0,4238.1,8.5,58.6,41.4,307100.0,1266.0,1211.0,29.0,1059.0,1678.0,428.0,34.0,20.0,2149.0,4.2,4.3,1965.0,3.9,3.6,2001.0,2008.0,0.625,0.082,0.09,0.256,0.0,0.273,0.544,0.141,0.065,0.298,0.532,0.0
158,Hawthorne,30988.0,5095.7,3.7,73.5,26.5,461400.0,1126.0,2012.0,25.0,1263.0,2373.0,400.0,29.0,10.0,3970.0,3.8,3.8,1966.0,3.4,2.8,2002.0,2011.0,0.311,0.018,0.523,0.441,0.012,0.504,0.733,0.157,0.071,0.171,0.735,0.04
159,Hayward city-CA,48765.0,1073.6,1.0,48.4,51.6,462000.0,1562.0,1955.0,22.0,990.0,2339.0,501.0,26.0,11.0,3557.0,3.9,4.8,1971.0,3.3,3.2,2003.0,2012.0,0.298,0.34,0.169,0.438,0.341,0.104,0.402,0.503,0.038,0.122,0.744,0.032
160,Healdsburg city-CA,5118.0,1148.3,6.8,41.3,58.7,647600.0,1494.0,1813.0,20.0,1240.0,2459.0,574.0,24.0,11.0,4005.0,3.1,5.3,1974.0,2.4,2.6,2001.0,2011.0,0.193,0.0,0.37,0.563,0.122,0.315,0.391,0.406,0.079,0.131,0.847,0.022
161,Hemet,34068.0,1223.4,-3.5,42.4,57.6,157500.0,1011.0,841.0,22.0,422.0,1327.0,444.0,27.0,16.0,1543.0,3.7,4.9,1983.0,2.7,3.0,2007.0,2012.0,0.247,0.262,0.149,0.084,0.058,0.236,0.395,0.041,0.384,0.424,0.382,0.105
162,Hercules,8436.0,1315.6,-1.4,17.8,82.2,457300.0,1779.0,2201.0,24.0,706.0,2448.0,700.0,26.0,10.0,5191.0,3.6,6.2,1987.0,3.0,3.3,2003.0,2012.0,0.765,0.235,0.0,0.46,0.117,0.264,0.418,0.562,0.0,0.0,0.842,0.061
163,Hermosa Beach,10189.0,7142.4,0.3,53.5,46.5,1220500.0,2035.0,3022.0,20.0,1292.0,3910.0,705.0,24.0,10.0,6993.0,3.0,4.6,1968.0,2.4,1.9,2000.0,2012.0,0.527,0.445,0.028,0.256,0.7,0.007,0.084,0.873,0.0,0.081,0.835,0.033
164,Hesperia,27833.0,380.8,-4.0,37.0,63.0,199200.0,1102.0,1151.0,22.0,501.0,1354.0,378.0,25.0,11.0,1492.0,4.1,6.0,1986.0,3.5,3.7,2005.0,2012.0,0.249,0.0,0.081,0.074,0.009,0.16,0.359,0.007,0.413,0.539,0.242,0.098
165,Hidden Hills,584.0,345.8,-6.7,3.6,96.4,2000001.0,,4001.0,26.0,1474.0,4001.0,1501.0,27.0,19.0,10001.0,3.4,9.0,1971.0,3.0,3.2,1998.0,,,0.0,,,0.0,,,0.0,,,0.684,
166,Highland,16873.0,899.7,1.8,35.1,64.9,288500.0,1010.0,1550.0,22.0,648.0,1846.0,468.0,25.0,12.0,2675.0,4.0,5.6,1981.0,3.4,3.6,2003.0,2012.0,0.0,0.0,0.0,0.078,0.011,0.419,0.321,0.021,0.526,0.406,0.402,0.042
167,Hollister city-CA,10834.0,1479.2,4.2,38.5,61.5,415900.0,1338.0,2005.0,24.0,868.0,2196.0,566.0,26.0,12.0,3379.0,4.0,5.6,1986.0,3.4,3.7,2004.0,2011.0,0.111,0.407,0.0,0.205,0.0,0.371,0.465,0.165,0.208,0.208,0.691,0.053
168,Holtville,2153.0,1875.2,11.2,44.1,55.9,150900.0,716.0,834.0,21.0,456.0,1254.0,346.0,23.0,13.0,1122.0,4.3,5.0,1976.0,3.6,3.5,2001.0,2009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.138,0.233,0.196
169,Hughson,2530.0,1280.5,13.2,35.5,64.5,256300.0,1125.0,1552.0,21.0,392.0,1711.0,518.0,23.0,13.0,2250.0,3.5,5.7,1993.0,3.5,2.2,2004.0,2011.0,1.0,0.0,0.0,0.0,0.571,0.0,0.143,0.152,0.108,0.233,0.439,0.254
170,Huntington Beach,81128.0,2992.6,4.0,41.7,58.3,688700.0,1748.0,1988.0,21.0,1079.0,2693.0,577.0,26.0,10.0,4296.0,3.2,5.3,1972.0,2.6,2.6,1999.0,2012.0,0.394,0.354,0.158,0.435,0.419,0.057,0.216,0.71,0.019,0.069,0.841,0.02
171,Huntington Park,14867.0,4935.0,-1.9,73.7,26.3,357500.0,985.0,1642.0,28.0,1384.0,1852.0,451.0,32.0,12.0,3572.0,4.6,3.8,1951.0,4.7,3.9,1997.0,2010.0,0.132,0.052,0.378,0.225,0.005,0.604,0.674,0.108,0.135,0.327,0.539,0.063
172,Huron,1815.0,1140.8,13.3,68.5,31.5,119100.0,663.0,897.0,25.0,453.0,998.0,385.0,29.0,14.0,1244.0,4.4,4.6,1990.0,4.7,3.8,2001.0,2010.0,0.141,0.0,0.148,0.0,0.0,0.336,0.0,0.043,0.124,0.211,0.0,0.223
173,Imperial city-CA,5298.0,904.6,11.5,27.6,72.4,209200.0,1216.0,1620.0,21.0,329.0,1728.0,459.0,22.0,12.0,2026.0,4.4,5.9,2001.0,3.7,4.1,2008.0,2012.0,0.452,0.0,0.0,0.0,0.0,0.201,0.513,0.023,0.418,0.479,0.393,0.109
